TransactionID,CustomerID,Branch,Amount,Date
1,CUST17348,Chennai,95330,2024-02-03
2,CUST13747,Bangalore,31942,2024-08-14
3,CUST16525,Hyderabad,70161,2021-10-05
4,CUST13426,Chennai,67347,2021-10-02
5,CUST13942,Delhi,70263,2023-05-18
6,CUST5808,Delhi,5843,2023-02-14
7,CUST5503,Delhi,6031,2021-12-02
8,CUST8308,Delhi,41587,2024-01-05
9,CUST18858,Chennai,12643,2024-06-24
10,CUST2979,Delhi,16616,2023-06-11
11,CUST5523,Bangalore,20782,2022-04-10
12,CUST6789,Chennai,33053,2023-10-16
13,CUST18205,Bangalore,61143,2021-11-15
14,CUST9506,Delhi,18779,2024-07-12
15,CUST17796,Hyderabad,66087,2023-07-18
16,CUST1816,Delhi,69733,2022-01-22
17,CUST7524,Bangalore,570,2023-11-26
18,CUST6582,Bangalore,46683,2021-10-09
19,CUST3182,Bangalore,58102,2025-01-19
20,CUST14517,Chennai,49884,2023-06-19
21,CUST12541,Delhi,89407,2021-06-06
22,CUST11603,Bangalore,65040,2024-11-17
23,CUST19234,Mumbai,72054,2021-02-18
24,CUST14300,Delhi,52646,2022-11-29
25,CUST6864,Delhi,79239,2021-06-17
26,CUST4026,Bangalore,70893,2025-01-11
27,CUST18634,Hyderabad,51694,2023-10-23
28,CUST4715,Bangalore,20274,2024-11-18
29,CUST1432,Bangalore,82784,2022-10-30
30,CUST4226,Chennai,10261,2023-06-30
31,CUST13056,Chennai,45663,2024-01-26
32,CUST8351,Chennai,68140,2021-04-17
33,CUST13930,Delhi,42578,2023-01-06
34,CUST18089,Hyderabad,48320,2021-12-31
35,CUST1248,Bangalore,82421,2024-11-26
36,CUST2475,Delhi,90173,2021-06-13
37,CUST2104,Mumbai,92600,2022-08-24
38,CUST11816,Mumbai,35738,2022-08-22
39,CUST15027,Bangalore,60935,2022-11-19
40,CUST11301,Mumbai,22224,2021-09-10
41,CUST2443,Hyderabad,45242,2025-01-05
42,CUST7428,Hyderabad,81552,2023-11-18
43,CUST11375,Chennai,44923,2021-04-13
44,CUST19845,Hyderabad,59173,2021-12-29
45,CUST7054,Chennai,85160,2022-06-28
46,CUST6746,Hyderabad,78931,2022-12-08
47,CUST11627,Bangalore,61172,2024-09-13
48,CUST1952,Hyderabad,20530,2022-02-24
49,CUST8156,Mumbai,43058,2023-08-27
50,CUST4053,Hyderabad,79939,2022-03-10
51,CUST11730,Chennai,83685,2024-12-31
52,CUST9793,Hyderabad,94638,2023-03-12
53,CUST5583,Bangalore,90944,2022-01-02
54,CUST7873,Hyderabad,16291,2021-10-11
55,CUST7601,Chennai,7451,2023-12-23
56,CUST9770,Hyderabad,21469,2024-10-01
57,CUST9167,Bangalore,92638,2021-10-07
58,CUST17950,Hyderabad,20122,2022-09-28
59,CUST1440,Delhi,27910,2023-08-14
60,CUST6098,Mumbai,91793,2023-10-04
61,CUST10467,Hyderabad,75708,2024-11-03
62,CUST18670,Mumbai,20542,2023-09-25
63,CUST10812,Hyderabad,60987,2024-01-03
64,CUST16303,Hyderabad,88284,2022-06-14
65,CUST12526,Bangalore,46481,2024-05-08
66,CUST11742,Mumbai,62364,2021-06-29
67,CUST19875,Hyderabad,80441,2024-04-17
68,CUST18397,Delhi,34527,2023-05-01
69,CUST2595,Delhi,3054,2022-07-03
70,CUST8723,Hyderabad,42022,2024-05-15
71,CUST16156,Mumbai,41171,2022-10-25
72,CUST15985,Chennai,56837,2023-05-03
73,CUST17440,Mumbai,5258,2024-12-24
74,CUST6677,Delhi,4313,2021-03-28
75,CUST11544,Chennai,42947,2023-12-08
76,CUST19790,Hyderabad,846,2024-05-13
77,CUST8628,Delhi,10207,2022-09-13
78,CUST14615,Hyderabad,35552,2024-04-26
79,CUST12756,Mumbai,41977,2023-04-09
80,CUST4436,Mumbai,30082,2023-12-26
81,CUST4660,Mumbai,22641,2024-11-19
82,CUST15133,Chennai,33291,2021-01-01
83,CUST5378,Mumbai,51529,2023-06-15
84,CUST13063,Bangalore,17877,2023-10-04
85,CUST15924,Delhi,19404,2021-04-03
86,CUST8142,Bangalore,94491,2023-03-22
87,CUST3977,Hyderabad,29508,2021-02-16
88,CUST16868,Mumbai,65314,2024-03-05
89,CUST6901,Hyderabad,38118,2024-11-08
90,CUST2056,Chennai,13553,2021-02-19
91,CUST7493,Hyderabad,23516,2023-05-21
92,CUST2352,Mumbai,86113,2021-03-02
93,CUST4596,Delhi,65244,2023-12-09
94,CUST15745,Delhi,93191,2024-06-08
95,CUST12324,Hyderabad,56162,2024-10-16
96,CUST5138,Chennai,98460,2024-07-10
97,CUST16716,Chennai,22759,2024-01-14
98,CUST8440,Mumbai,48921,2023-04-29
99,CUST8654,Hyderabad,19463,2024-09-08
100,CUST14855,Chennai,18404,2023-02-25
101,CUST16169,Hyderabad,19665,2021-06-11
102,CUST18872,Mumbai,83567,2022-01-13
103,CUST19623,Mumbai,1607,2021-12-03
104,CUST13282,Mumbai,59707,2021-04-30
105,CUST18014,Hyderabad,57824,2022-01-02
106,CUST15846,Mumbai,44647,2024-06-30
107,CUST2872,Bangalore,9779,2021-11-18
108,CUST18812,Bangalore,11437,2022-08-22
109,CUST10784,Chennai,11233,2025-01-14
110,CUST3110,Hyderabad,88086,2021-06-15
111,CUST14763,Mumbai,33124,2021-11-19
112,CUST7619,Delhi,54502,2024-01-26
113,CUST17686,Chennai,31723,2021-01-11
114,CUST7735,Mumbai,6364,2022-07-18
115,CUST5579,Mumbai,56961,2021-12-30
116,CUST16100,Hyderabad,11384,2022-02-16
117,CUST17287,Mumbai,49108,2024-11-20
118,CUST11137,Mumbai,31353,2023-05-13
119,CUST14292,Bangalore,79022,2023-04-08
120,CUST12723,Mumbai,35018,2024-01-11
121,CUST1619,Hyderabad,60851,2021-05-03
122,CUST5239,Delhi,3707,2024-06-03
123,CUST9784,Hyderabad,83472,2025-01-13
124,CUST1412,Delhi,96925,2023-07-10
125,CUST17618,Hyderabad,46002,2024-05-02
126,CUST2674,Mumbai,19089,2022-02-22
127,CUST15369,Delhi,15148,2023-08-12
128,CUST16500,Hyderabad,78199,2022-07-25
129,CUST9141,Mumbai,30609,2022-05-09
130,CUST9783,Bangalore,916,2022-03-26
131,CUST4233,Hyderabad,72450,2022-05-24
132,CUST11980,Chennai,14063,2022-08-15
133,CUST6747,Bangalore,76855,2025-01-11
134,CUST3764,Delhi,56792,2023-04-23
135,CUST18406,Chennai,72222,2024-03-14
136,CUST6952,Mumbai,43173,2023-04-15
137,CUST9143,Mumbai,5907,2021-01-25
138,CUST4032,Hyderabad,42720,2023-08-02
139,CUST14309,Bangalore,81153,2023-10-14
140,CUST15082,Bangalore,83463,2023-03-23
141,CUST12949,Bangalore,16646,2021-09-03
142,CUST13524,Hyderabad,38921,2023-05-04
143,CUST9218,Chennai,46554,2021-01-28
144,CUST6034,Hyderabad,48956,2023-12-28
145,CUST5276,Hyderabad,68608,2021-12-24
146,CUST1920,Mumbai,63259,2021-06-30
147,CUST7204,Bangalore,62399,2023-04-29
148,CUST12453,Mumbai,63167,2024-07-23
149,CUST15522,Bangalore,55263,2022-10-15
150,CUST9137,Delhi,59471,2022-09-20
151,CUST12926,Hyderabad,1231,2021-02-18
152,CUST1305,Chennai,51513,2022-05-07
153,CUST13081,Delhi,48415,2022-11-02
154,CUST12582,Mumbai,60782,2021-07-14
155,CUST3901,Chennai,12915,2024-11-22
156,CUST14375,Mumbai,75351,2022-06-16
157,CUST8749,Bangalore,55350,2023-04-15
158,CUST4999,Chennai,92288,2023-12-07
159,CUST4587,Hyderabad,75745,2025-01-10
160,CUST6897,Delhi,18422,2022-12-26
161,CUST7860,Bangalore,11991,2024-01-16
162,CUST15783,Delhi,35740,2024-05-29
163,CUST5037,Delhi,64082,2021-09-19
