OrderID,CustomerID,Product,Quantity,Price,Revenue,Date
1,CUST10893,Shoes,1,386,386,2022-12-03
2,CUST10274,Phone,4,22,88,2022-11-04
3,CUST8131,Shoes,2,191,382,2024-11-02
4,CUST10075,Laptop,3,57,171,2021-07-10
5,CUST8862,Phone,1,44,44,2023-12-04
6,CUST5448,Shoes,1,462,462,2022-12-04
7,CUST3934,Watch,4,217,868,2023-10-23
8,CUST5013,Tshirt,3,464,1392,2024-10-06
9,CUST8497,Laptop,2,387,774,2023-01-21
10,CUST7475,Watch,4,250,1000,2022-05-29
11,CUST1278,Shoes,2,37,74,2021-07-31
12,CUST10179,Bag,3,388,1164,2021-03-23
13,CUST9585,Bag,1,449,449,2025-01-27
14,CUST3926,Bag,2,62,124,2024-03-04
15,CUST4380,Tshirt,2,46,92,2024-09-05
16,CUST6573,Watch,3,439,1317,2023-01-31
17,CUST10020,Tshirt,1,166,166,2024-01-08
18,CUST6895,Shoes,1,283,283,2025-01-01
19,CUST1213,Bag,2,49,98,2023-10-31
20,CUST2756,Laptop,1,388,388,2023-03-09
21,CUST2430,Shoes,3,161,483,2024-03-02
22,CUST10742,Laptop,2,272,544,2022-09-21
23,CUST5698,Shoes,1,14,14,2023-08-25
24,CUST3066,Laptop,3,262,786,2022-10-25
25,CUST3720,Watch,3,24,72,2024-06-28
26,CUST8307,Laptop,2,226,452,2024-02-03
27,CUST1447,Bag,4,310,1240,2021-10-22
28,CUST2570,Phone,3,82,246,2023-03-29
29,CUST7465,Tshirt,2,289,578,2021-10-17
30,CUST10380,Watch,3,59,177,2025-01-21
31,CUST3062,Tshirt,2,322,644,2024-02-13
32,CUST2864,Watch,4,270,1080,2023-09-12
33,CUST9365,Tshirt,1,307,307,2022-03-26
34,CUST9902,Watch,2,211,422,2021-07-17
35,CUST6181,Phone,3,449,1347,2021-04-17
36,CUST3406,Bag,1,457,457,2023-06-13
37,CUST5188,Bag,4,121,484,2022-01-22
38,CUST8411,Phone,4,421,1684,2023-05-29
39,CUST1788,Phone,2,13,26,2022-08-19
40,CUST10053,Tshirt,4,456,1824,2024-08-13
41,CUST4763,Tshirt,4,148,592,2022-10-28
42,CUST6542,Tshirt,2,285,570,2022-06-09
43,CUST9916,Bag,3,43,129,2021-09-04
44,CUST9933,Watch,2,464,928,2021-07-01
45,CUST7576,Watch,4,477,1908,2022-07-25
46,CUST4076,Bag,4,208,832,2022-03-27
47,CUST7512,Shoes,3,135,405,2023-05-06
48,CUST2779,Laptop,3,320,960,2024-12-07
49,CUST7843,Watch,1,154,154,2021-02-10
50,CUST4821,Shoes,1,186,186,2021-01-14
51,CUST6672,Laptop,3,222,666,2021-02-28
52,CUST1339,Bag,1,324,324,2021-04-24
53,CUST7641,Shoes,1,392,392,2021-04-06
54,CUST5977,Phone,4,127,508,2022-12-28
55,CUST5050,Phone,3,322,966,2023-03-07
56,CUST9129,Tshirt,2,240,480,2021-03-30
57,CUST3356,Watch,4,422,1688,2021-09-10
58,CUST7494,Phone,3,104,312,2023-11-26
59,CUST3243,Bag,3,462,1386,2021-03-29
60,CUST1273,Bag,4,169,676,2021-02-18
61,CUST5290,Bag,2,492,984,2025-01-05
62,CUST8698,Watch,4,404,1616,2024-10-22
63,CUST8591,Laptop,4,370,1480,2021-08-09
64,CUST9021,Bag,2,48,96,2023-02-20
65,CUST7147,Tshirt,3,427,1281,2021-10-14
66,CUST8556,Watch,3,16,48,2023-10-19
67,CUST3266,Watch,4,326,1304,2021-08-09
68,CUST9410,Phone,3,399,1197,2023-11-08
69,CUST2137,Shoes,4,75,300,2021-08-27
70,CUST6534,Shoes,1,37,37,2023-09-28
71,CUST10467,Laptop,1,275,275,2023-01-04
