EmployeeID,Department,Salary,Rating,JoiningDate
1,Operations,114220,3,2021-11-29
2,IT,118599,1,2025-01-15
3,Sales,27687,1,2024-01-01
4,Finance,35572,1,2024-08-18
5,Sales,103230,3,2022-06-14
6,Finance,132848,4,2022-07-16
7,Operations,49093,5,2023-09-06
8,Sales,127682,3,2024-09-10
9,Finance,77688,4,2021-04-29
10,Finance,89652,2,2021-11-02
11,IT,106315,3,2022-10-16
12,IT,149732,5,2021-01-06
13,HR,126105,4,2021-01-05
14,IT,81491,3,2022-02-01
15,Finance,129245,2,2022-04-20
16,IT,23399,4,2023-11-20
17,Finance,37433,3,2024-07-05
18,Finance,25707,1,2022-01-12
19,IT,119444,1,2021-01-19
20,Sales,55671,4,2023-02-28
21,Finance,91772,2,2023-05-25
22,HR,123392,5,2024-10-29
23,Sales,20160,3,2021-06-01
24,Sales,108140,1,2022-03-20
25,Finance,90826,2,2021-06-20
26,HR,124114,3,2022-11-01
27,HR,111939,1,2024-06-23
28,Operations,41462,3,2021-04-17
29,Finance,23549,5,2024-04-22
30,Sales,111152,4,2021-07-05
31,HR,73609,4,2023-08-05
32,IT,68782,5,2024-03-04
33,Operations,107901,4,2021-07-30
34,Finance,128011,2,2021-03-07
35,IT,123485,4,2024-12-05
36,Sales,135327,5,2021-03-21
37,Finance,145347,5,2024-02-11
38,Finance,108774,1,2024-11-23
39,IT,123954,2,2022-06-30
40,Sales,75788,1,2022-12-09
41,HR,76406,2,2023-07-26
42,IT,88826,1,2023-09-03
43,Operations,116086,2,2023-04-13
44,HR,86040,4,2024-08-08
45,IT,58240,2,2025-02-01
46,Operations,131423,3,2024-06-30
47,Sales,115754,4,2022-06-28
48,Finance,98737,4,2024-07-30
49,HR,126263,3,2024-09-16
50,Operations,112129,5,2022-02-14
51,Finance,115731,2,2023-12-05
52,Sales,81077,2,2021-06-27
53,HR,76188,5,2021-04-12
54,Operations,66555,3,2024-08-17
55,IT,144295,4,2023-04-12
56,HR,87258,4,2024-11-08
57,HR,50792,3,2021-12-07
58,Finance,93017,3,2023-04-24
59,Operations,134422,3,2024-03-01
60,IT,60548,3,2022-06-06
61,Operations,95553,5,2022-02-21
62,HR,101912,1,2021-06-17
63,Operations,131818,5,2021-06-03
64,IT,97817,1,2022-11-21
65,HR,73474,2,2024-03-14
66,Finance,127812,4,2024-12-21
67,Finance,123463,4,2021-08-24
68,Sales,70840,1,2024-11-19
69,Operations,100163,1,2023-09-11
70,Sales,148969,1,2024-03-30
71,IT,77976,3,2021-05-18
72,Sales,73358,5,2023-07-29
73,IT,28269,5,2022-06-27
74,Sales,80327,2,2023-09-23
75,Operations,89620,2,2023-09-02
76,Finance,34470,1,2023-09-30
77,HR,113057,3,2021-09-21
78,HR,85419,2,2023-02-17
79,IT,132379,4,2024-10-28
80,HR,30141,1,2023-06-06
81,HR,86537,4,2022-04-10
82,Operations,95669,2,2023-07-21
83,HR,57736,3,2024-01-14
84,HR,55739,3,2023-09-07
85,HR,40761,5,2023-06-11
86,Finance,45906,3,2023-10-13
87,Operations,95450,3,2024-03-27
88,IT,84937,5,2024-11-20
89,Operations,121920,2,2021-12-03
90,HR,61791,1,2023-11-17
91,Finance,79606,1,2021-03-16
92,HR,30030,2,2023-12-02
93,Sales,82511,3,2023-02-08
94,IT,27085,5,2024-10-04
95,HR,86799,1,2024-09-18
96,Sales,78658,3,2023-03-22
97,Finance,99724,2,2022-05-13
98,HR,127707,3,2023-09-26
99,IT,48446,3,2023-04-30
100,IT,31974,1,2021-02-15
101,Sales,67023,3,2024-08-27
102,HR,78793,4,2021-11-13
103,Sales,30888,4,2025-01-19
104,IT,54152,5,2022-11-23
105,HR,72733,2,2022-09-30
106,Operations,146491,3,2023-08-21
107,Finance,57465,1,2021-09-20
108,IT,91569,4,2021-08-19
109,HR,147757,1,2022-07-05
110,HR,77132,2,2021-12-05
111,Sales,27605,5,2024-08-06
112,Finance,144305,2,2023-12-05
113,Operations,133766,1,2023-06-15
114,Operations,134743,1,2024-03-08
115,Finance,142516,3,2024-07-17
116,IT,25442,5,2024-10-07
117,HR,105805,2,2021-01-30
118,Sales,88795,4,2021-06-25
119,IT,118586,5,2024-12-26
120,Operations,133150,3,2023-06-22
121,HR,122143,4,2024-09-15
122,Operations,30042,5,2024-12-28
123,Finance,79512,3,2021-05-04
124,Sales,44270,5,2024-03-03
125,Sales,109350,4,2021-11-09
126,Finance,79622,1,2023-08-21
127,Operations,78830,3,2024-12-26
128,IT,91509,2,2023-01-22
129,Finance,104561,3,2022-11-05
130,IT,33908,3,2021-03-22
131,Operations,55076,5,2025-01-18
132,Finance,136184,2,2023-02-11
133,Sales,109854,2,2023-01-11
134,Operations,120961,3,2021-07-22
135,Operations,110416,1,2022-07-19
136,Sales,119226,5,2023-12-10
137,Operations,44080,4,2025-01-16
138,Finance,23931,1,2023-10-14
139,Operations,49845,5,2022-10-27
140,Finance,44046,3,2022-06-17
141,HR,40725,2,2022-11-20
142,Finance,97669,3,2023-09-30
143,Sales,129886,1,2025-01-14
144,Sales,98957,5,2023-11-06
145,Finance,39128,3,2024-05-07
146,Finance,107271,3,2023-05-04
147,Finance,63307,4,2021-05-21
148,HR,37694,3,2022-12-28
149,Operations,77145,5,2023-05-15
150,HR,110453,4,2023-01-15
151,Sales,85373,1,2023-06-02
152,IT,78776,2,2024-11-28
153,Finance,87833,4,2024-05-11
154,Sales,79238,3,2023-08-01
155,IT,127655,4,2021-04-25
156,HR,59972,3,2024-03-19
157,Operations,60073,1,2023-05-06
158,Sales,65799,1,2023-08-05
159,Sales,100908,4,2022-01-31
160,IT,32277,3,2021-08-10
161,Finance,108004,4,2024-09-27
162,IT,37738,5,2024-06-16
163,IT,25257,5,2025-01-22
164,IT,56773,5,2024-01-01
165,IT,75466,4,2024-07-07
166,Finance,24942,5,2024-03-18
167,Sales,133019,4,2022-10-06
168,Finance,97582,4,2022-07-25
169,Finance,77245,1,2023-10-05
170,HR,138321,5,2021-07-13
171,Finance,99728,2,2025-01-26
172,HR,53714,3,2024-11-02
173,Operations,29624,3,2024-12-11
174,IT,32522,1,2022-07-31
175,HR,122562,5,2021-09-27
176,HR,114677,4,2022-04-27
177,Operations,133693,1,2023-04-27
178,IT,127460,2,2024-03-23
179,IT,105380,3,2022-11-17
180,Finance,91988,1,2024-11-18
181,HR,108232,1,2023-10-16
182,HR,50530,2,2021-08-16
183,Finance,44166,2,2022-10-27
184,HR,47622,4,2022-04-15
185,Operations,71605,5,2021-01-03
186,Finance,103731,3,2022-05-04
187,Operations,57408,4,2023-05-10
188,Operations,85071,3,2021-10-29
189,Finance,78593,5,2024-08-28
190,Finance,22584,4,2022-11-26
191,Finance,100466,3,2022-08-03
192,Operations,21063,3,2021-04-10
193,Sales,117776,4,2022-11-21
194,Finance,21603,4,2023-01-11
195,Operations,124105,4,2021-10-24
196,Sales,48407,1,2022-03-19
197,Finance,58528,2,2022-03-01
198,Sales,32110,3,2024-01-27
199,IT,58428,4,2023-04-22
200,Sales,28890,4,2022-02-13
201,Operations,114974,3,2022-09-15
202,IT,81395,4,2023-07-25
203,HR,29115,1,2023-06-10
204,Finance,107844,3,2024-05-07
205,Operations,130419,4,2024-01-01
206,Finance,118214,4,2023-05-01
207,IT,51872,4,2023-03-03
208,Finance,109804,5,2024-12-26
209,Operations,22240,5,2021-03-26
210,HR,106048,1,2022-08-13
211,IT,61192,3,2024-10-26
212,Finance,29869,5,2022-05-31
213,IT,149024,3,2021-02-17
214,Finance,22770,4,2024-11-15
215,HR,24675,3,2022-02-20
216,HR,38992,2,2025-01-15
217,HR,147317,2,2022-04-11
218,Sales,63605,2,2022-12-21
219,Sales,26648,4,2023-04-03
220,HR,20727,5,2021-11-03
221,Finance,113866,2,2021-03-29
222,HR,79139,4,2023-11-17
223,IT,23744,3,2021-10-08
224,Finance,30416,2,2024-07-02
225,Sales,85016,3,2023-07-12
226,Sales,75927,5,2022-07-17
227,Finance,139125,1,2024-12-22
228,IT,24617,4,2021-12-22
229,HR,142232,5,2022-05-01
230,IT,76432,1,2021-11-26
231,IT,104415,2,2024-09-30
232,HR,64625,5,2024-01-29
233,IT,141121,3,2023-10-25
234,HR,54666,3,2023-05-22
235,IT,31601,4,2023-07-28
236,IT,62943,2,2021-08-10
237,Operations,22134,1,2023-05-09
238,Sales,75019,1,2023-01-15
239,Sales,73447,3,2024-04-30
240,HR,81927,4,2021-12-15
241,Operations,24858,5,2022-04-05
242,Sales,70386,5,2021-12-02
243,IT,140058,5,2022-05-06
244,Finance,27220,1,2021-07-16
245,HR,121227,3,2022-09-15
246,Finance,126323,2,2024-12-09
247,Sales,47390,2,2022-03-29
248,Finance,118374,3,2022-05-15
249,Finance,96717,4,2022-03-20
250,HR,136295,2,2022-08-17
251,IT,98181,1,2021-04-22
252,Sales,111432,2,2023-09-26
253,Finance,138033,5,2022-05-18
254,IT,34421,2,2024-12-23
255,Operations,29118,2,2021-09-22
256,HR,46153,4,2022-07-18
257,IT,61747,2,2024-08-18
258,IT,120735,1,2024-10-15
259,Sales,81199,3,2023-04-05
260,Sales,87129,4,2023-09-10
261,HR,118649,4,2021-02-23
262,Finance,59493,5,2021-07-01
263,IT,125951,3,2023-04-28
264,IT,64191,1,2025-01-15
