OrderID,Date,Product,Quantity,Price,Sales,Profit,Region
1,2023-09-16,Mouse,2,47409,94818,15793.391896159414,East
2,2021-10-27,Mouse,5,12963,64815,3883.7289424231153,North
3,2021-10-31,Tablet,3,57834,173502,41062.68123169073,West
4,2023-12-31,Keyboard,4,9487,37948,2532.8404858187364,North
5,2022-12-25,Keyboard,1,58425,58425,11228.528742574563,East
6,2022-12-20,Desk,1,16234,16234,3536.6814175973022,South
7,2021-02-23,Keyboard,5,3499,17495,4298.224854907714,South
8,2023-02-07,Desk,5,24307,121535,12640.747157114125,West
9,2021-05-07,Mouse,1,17161,17161,1386.4038538962811,North
10,2022-04-15,Monitor,1,39360,39360,7125.987235251367,East
11,2023-04-15,Laptop,2,12443,24886,4653.207688457671,North
12,2025-01-31,Desk,1,56042,56042,5476.864370681872,North
13,2025-01-05,Monitor,3,11940,35820,6901.169021133993,North
14,2022-05-06,Chair,4,5830,23320,4266.394260679638,South
15,2024-10-01,Desk,3,32475,97425,24305.141334629167,South
16,2022-08-01,Tablet,4,59186,236744,38238.93334092778,North
17,2022-06-15,Mouse,2,46849,93698,19479.13839869018,North
18,2024-09-02,Desk,4,48326,193304,24212.48225495597,West
19,2024-06-26,Keyboard,5,15526,77630,16211.72512702165,West
20,2024-05-22,Chair,3,43927,131781,15519.965679935169,West
21,2022-06-01,Mouse,1,15582,15582,2459.9950353791155,North
22,2024-07-18,Mouse,5,39892,199460,15266.282062477268,East
23,2021-08-24,Laptop,5,28418,142090,31374.517223570376,West
24,2022-11-23,Chair,5,57686,288430,49094.15124402869,East
25,2023-09-29,Keyboard,3,52041,156123,24572.62908214556,South
26,2023-03-31,Desk,1,52268,52268,13030.61661479916,South
27,2022-10-04,Keyboard,3,34369,103107,19571.83473018013,South
28,2024-10-21,Phone,2,50670,101340,12751.558193794372,West
29,2022-01-28,Keyboard,1,5670,5670,909.171685316211,East
30,2021-04-09,Chair,2,10472,20944,2751.3012033158598,North
31,2023-09-02,Mouse,4,43400,173600,20452.28440159988,South
32,2021-01-04,Monitor,1,55607,55607,3979.5725663302255,East
33,2023-07-14,Keyboard,5,4826,24130,3160.4507423763876,West
34,2021-10-31,Mouse,2,26170,52340,5971.048926012178,South
35,2022-07-24,Desk,4,40453,161812,20213.70137654582,West
36,2024-03-31,Laptop,5,9016,45080,3906.8948060590105,West
37,2024-12-15,Mouse,4,15293,61172,6195.337513944841,North
38,2024-03-03,Mouse,1,47295,47295,6098.785303534103,East
39,2024-06-22,Mouse,3,51581,154743,38117.28847229689,West
40,2024-08-16,Monitor,4,21641,86564,9798.334700021602,West
41,2021-12-09,Phone,4,45518,182072,41050.75242797752,East
42,2022-12-25,Laptop,2,56876,113752,12399.968937569669,West
43,2024-02-23,Desk,2,52762,105524,18426.709786549534,East
44,2021-01-04,Mouse,4,18167,72668,11724.019895524774,West
45,2022-04-08,Laptop,1,3298,3298,702.5680147866535,East
46,2025-02-02,Desk,1,45593,45593,3124.722992649477,South
47,2024-01-11,Tablet,5,30329,151645,20229.00337724372,South
48,2021-04-17,Mouse,4,38638,154552,19511.062023355335,West
49,2022-12-29,Monitor,1,34120,34120,2166.721142552299,East
50,2022-02-04,Phone,2,5639,11278,1386.6046845305734,East
51,2025-01-14,Mouse,4,14300,57200,10575.452025132307,North
52,2023-08-11,Keyboard,3,52447,157341,13115.61165479486,North
53,2022-03-12,Desk,5,58947,294735,45759.54718545756,West
54,2022-04-25,Desk,5,15562,77810,10861.40201167783,North
55,2024-07-10,Laptop,1,6436,6436,431.99738542653006,North
56,2024-01-26,Laptop,1,52712,52712,3075.9726375576024,East
57,2023-04-21,Desk,2,48255,96510,17418.596886655938,West
58,2024-10-06,Tablet,1,45408,45408,4717.997968502626,South
59,2023-08-21,Desk,1,11944,11944,1638.4825467841765,North
60,2023-12-28,Laptop,1,27799,27799,6104.3644440606395,West
61,2024-02-15,Laptop,4,30035,120140,26427.309692597533,South
62,2022-11-26,Keyboard,5,54304,271520,19682.84585551824,South
63,2024-09-23,Phone,2,18987,37974,7753.912066790496,East
64,2024-07-28,Mouse,1,52799,52799,4704.187625495009,East
65,2024-08-07,Desk,2,53116,106232,6659.042617215452,West
66,2022-08-10,Phone,4,23025,92100,16370.895916922213,West
67,2024-12-18,Keyboard,1,56606,56606,10137.606695872566,East
68,2021-12-03,Laptop,5,21494,107470,25013.969483590616,South
69,2024-05-05,Laptop,5,10523,52615,12414.044139706732,West
70,2024-01-23,Tablet,5,32981,164905,14335.363602843536,North
71,2021-06-25,Tablet,3,56686,170058,41352.92738832759,South
72,2023-01-18,Chair,1,22139,22139,3382.6208757799195,East
73,2021-02-19,Chair,4,57818,231272,41367.80938996271,West
74,2024-02-25,Desk,2,15906,31812,3493.008451705475,West
75,2024-09-11,Monitor,3,49621,148863,10160.761553738192,North
76,2023-11-11,Desk,5,59924,299620,33604.65005677976,West
77,2022-06-02,Laptop,1,30264,30264,5389.629888153812,North
78,2022-02-10,Tablet,1,47884,47884,7962.913099001774,West
79,2022-08-10,Keyboard,5,34166,170830,26506.27962715257,East
80,2024-08-28,Phone,4,14946,59784,5453.881818893543,South
81,2021-05-02,Monitor,3,14327,42981,4975.658098005928,North
82,2021-05-05,Chair,2,8056,16112,2012.733425419895,South
83,2021-06-16,Phone,1,8547,8547,1637.659429910375,East
84,2022-03-08,Monitor,2,17985,35970,4706.402683616554,North
85,2021-02-07,Chair,3,13722,41166,2360.995194715744,East
86,2021-02-09,Tablet,1,24632,24632,4400.946260712275,East
87,2024-07-25,Laptop,5,16959,84795,4715.411587608381,North
88,2022-10-14,Phone,4,8353,33412,5607.483877842751,East
89,2023-10-02,Phone,1,22172,22172,5265.3432943348125,North
90,2021-11-09,Keyboard,2,54702,109404,6724.924754745203,South
91,2023-01-09,Laptop,1,58431,58431,7294.028617287103,South
92,2022-09-17,Tablet,4,6018,24072,3335.590163014705,North
93,2022-08-18,Chair,1,29661,29661,6336.898526852198,South
94,2021-08-31,Phone,3,9312,27936,5411.757049420082,East
95,2025-01-05,Tablet,1,51755,51755,3378.0755368638766,East
96,2021-05-06,Keyboard,2,30530,61060,14352.167192491639,North
97,2022-04-30,Laptop,5,13909,69545,6282.453894741378,East
98,2024-11-18,Mouse,3,20718,62154,13548.019697339449,North
99,2022-07-22,Keyboard,1,37781,37781,5090.527326651358,South
100,2025-01-15,Desk,3,24077,72231,17509.087603979424,South
101,2022-04-08,Desk,3,47930,143790,35732.451358249135,East
102,2021-03-04,Tablet,3,50821,152463,24549.848016385233,South
103,2021-06-29,Laptop,1,35595,35595,3018.206052979054,West
104,2025-01-11,Monitor,3,52072,156216,36043.43562346657,North
105,2022-09-22,Chair,5,2698,13490,2372.3664048815895,North
106,2022-11-22,Mouse,3,45920,137760,30213.775522939548,East
107,2022-07-16,Monitor,3,20154,60462,9303.989795852007,West
108,2021-03-27,Chair,2,32468,64936,6915.91921192378,North
109,2022-11-22,Tablet,3,59232,177696,15615.91092145102,West
110,2021-11-29,Desk,1,31703,31703,2783.94760909146,East
111,2023-04-30,Phone,4,22806,91224,6114.571241188178,West
112,2023-03-30,Monitor,1,34959,34959,8079.598400333003,East
113,2024-01-26,Desk,2,39894,79788,17815.847255464032,East
114,2023-06-29,Keyboard,5,53447,267235,49818.88882981782,East
115,2023-01-15,Monitor,3,11046,33138,5024.4034744319015,South
116,2022-05-22,Laptop,2,6569,13138,1349.2117755664403,East
117,2023-02-01,Monitor,3,4803,14409,1650.9027898852594,East
118,2021-06-12,Keyboard,2,46890,93780,11640.391552314855,South
119,2024-05-13,Mouse,3,7079,21237,2377.1772656829544,South
120,2023-01-07,Keyboard,1,3690,3690,616.0191063704667,West
121,2022-03-12,Keyboard,4,13847,55388,7966.069103722257,South
122,2022-11-30,Monitor,4,58272,233088,53532.865672749955,East
123,2024-08-25,Monitor,5,8312,41560,8069.575721356259,South
124,2021-06-29,Desk,3,19395,58185,8338.186580575653,East
125,2021-06-17,Desk,5,41343,206715,44634.27633510236,West
126,2023-05-23,Monitor,4,20125,80500,4528.114078936623,South
127,2024-07-07,Keyboard,4,59228,236912,54529.874542085025,North
128,2023-07-03,Laptop,2,20877,41754,3013.713199641534,West
129,2023-03-21,Laptop,2,41852,83704,15608.805994568846,North
130,2023-11-26,Mouse,4,13724,54896,13037.606138411935,East
131,2023-07-04,Desk,5,8744,43720,6991.960662407821,West
132,2022-05-08,Keyboard,5,4751,23755,4765.143617239634,East
133,2022-06-05,Chair,3,15761,47283,5304.659820853801,North
134,2024-10-28,Phone,1,29984,29984,3261.70088107762,North
135,2021-07-02,Desk,5,43301,216505,18930.778540299303,South
136,2024-09-03,Mouse,1,55023,55023,10252.245692463603,North
137,2023-11-05,Tablet,4,12653,50612,6984.835526906566,West
138,2024-04-03,Tablet,4,29930,119720,12772.35595536252,East
139,2023-09-22,Desk,1,46546,46546,7709.0435727425465,East
140,2024-02-27,Desk,3,46331,138993,30624.695755842957,North
141,2021-09-17,Laptop,5,8976,44880,4731.822195993782,East
142,2022-03-11,Monitor,2,13200,26400,3025.340668389807,East
143,2021-03-14,Laptop,5,26872,134360,14706.577828585429,South
144,2022-07-09,Laptop,4,20278,81112,7909.734738047222,West
145,2023-04-07,Phone,2,24133,48266,10601.151711344828,North
146,2024-09-10,Phone,3,20410,61230,13667.949030658086,South
147,2023-12-10,Laptop,3,7522,22566,4360.2518570893135,West
148,2025-01-17,Chair,4,31583,126332,18563.137974991554,South
149,2024-04-27,Laptop,3,15302,45906,8829.480291542472,South
150,2021-04-30,Mouse,4,27109,108436,5533.188848444023,East
151,2024-08-15,Monitor,4,37772,151088,18770.491535292083,East
152,2024-12-01,Phone,5,11100,55500,4544.647115913097,West
153,2022-08-30,Chair,4,45865,183460,31173.350476078103,North
154,2022-04-17,Monitor,1,879,879,111.7653089235853,East
155,2021-09-28,Mouse,4,44104,176416,17307.397447182902,East
156,2023-09-30,Phone,4,38490,153960,13160.847952694794,East
157,2024-07-09,Monitor,4,12712,50848,11823.123640106238,South
158,2021-07-20,Laptop,5,2471,12355,1611.3921742243524,West
159,2022-02-09,Monitor,3,36808,110424,18606.782278629544,North
160,2024-12-22,Laptop,2,10481,20962,2267.6960021841137,North
161,2024-11-22,Chair,4,40185,160740,39892.733277196,South
162,2021-03-02,Phone,1,59095,59095,10111.559917225859,North
163,2024-04-01,Desk,2,41902,83804,19427.609328385755,West
164,2024-08-18,Monitor,2,44572,89144,17387.748515964184,West
165,2023-12-26,Phone,2,25695,51390,10320.5239905446,East
166,2023-11-28,Phone,2,38312,76624,10559.749598060245,South
167,2021-09-26,Keyboard,2,6533,13066,2111.517571778845,East
168,2021-09-30,Monitor,5,47841,239205,25783.472700481838,South
169,2021-01-21,Keyboard,1,7433,7433,1846.0291086245807,South
170,2024-03-16,Desk,2,19147,38294,7063.805848273716,West
171,2022-07-01,Tablet,4,56801,227204,30767.221390348146,North
172,2022-02-17,Monitor,2,45015,90030,18931.973834757715,West
173,2024-12-07,Tablet,3,54753,164259,39497.305165113365,North
174,2022-03-23,Desk,2,47465,94930,11607.653795518207,South
175,2024-08-02,Monitor,2,28123,56246,7251.461507862876,East
176,2023-07-05,Laptop,5,23629,118145,6658.919983984875,South
177,2021-03-04,Laptop,1,25262,25262,1766.6782192054457,North
178,2023-12-15,Phone,1,44066,44066,6931.3700517457455,East
179,2021-02-12,Keyboard,4,38548,154192,11208.654051665193,East
180,2024-05-07,Monitor,2,44185,88370,15630.914596238068,West
181,2023-09-23,Keyboard,3,54619,163857,33305.00774894975,South
182,2023-09-07,Phone,2,35010,70020,13945.292636176755,West
183,2022-06-17,Monitor,4,52708,210832,37740.27870511066,South
184,2025-01-27,Desk,5,27806,139030,15599.494794491275,North
185,2024-08-18,Chair,4,56845,227380,15253.113075026517,North
186,2021-04-20,Tablet,4,21317,85268,4951.365794148441,East
187,2021-09-25,Mouse,4,13331,53324,7753.786375548335,West
188,2022-02-10,Mouse,3,8814,26442,1328.5139092323823,East
189,2023-07-27,Tablet,2,31575,63150,5259.884365081239,East
190,2022-12-24,Chair,4,25617,102468,22951.012357172418,South
191,2023-09-28,Chair,5,8279,41395,9989.691606239903,West
192,2024-03-18,Monitor,2,17476,34952,8651.323599489453,North
193,2025-01-31,Phone,3,14935,44805,6244.671695815444,East
194,2021-12-10,Phone,2,31980,63960,9301.782389990767,East
195,2023-07-30,Laptop,3,8005,24015,3101.0712012926615,West
196,2023-01-25,Keyboard,4,28283,113132,11828.375083311968,West
197,2022-03-25,Phone,3,44093,132279,30788.678829288692,West
198,2024-12-29,Tablet,2,12611,25222,4603.982660227095,North
199,2022-06-11,Mouse,2,59960,119920,7989.114802257499,West
200,2021-10-02,Monitor,5,8051,40255,3765.1304043317646,South
201,2023-06-29,Monitor,2,24140,48280,5859.729988313016,East
202,2022-05-11,Laptop,2,53653,107306,14287.37599598309,South
203,2021-09-02,Phone,2,4728,9456,1785.9256702868472,North
204,2022-06-18,Desk,3,18665,55995,13053.389979216236,West
205,2025-01-16,Monitor,3,6086,18258,2651.8956914350597,North
206,2021-07-27,Phone,2,6127,12254,1366.061235945092,East
207,2022-11-23,Phone,1,33617,33617,7234.483422845932,South
208,2024-05-12,Chair,3,45283,135849,23073.33946458055,South
209,2024-10-19,Chair,2,36715,73430,16646.06224415075,South
210,2024-01-16,Desk,3,23557,70671,15632.114884958402,South
211,2023-11-13,Phone,1,57409,57409,11350.450170801312,North
212,2022-07-05,Mouse,5,2582,12910,1463.8510360138116,West
213,2021-03-03,Chair,2,48343,96686,20148.44328193845,North
214,2022-03-24,Monitor,1,19288,19288,3448.818235651378,East
215,2024-12-18,Keyboard,3,47828,143484,18898.948366224755,South
216,2021-09-07,Monitor,2,35655,71310,15386.808190940214,East
217,2025-01-24,Tablet,3,38614,115842,18329.083100824384,North
218,2024-10-21,Mouse,4,43987,175948,29712.869624956813,South
219,2021-05-15,Monitor,3,36459,109377,26880.59223613762,East
220,2025-01-21,Keyboard,5,15517,77585,18704.144433034642,East
221,2024-02-12,Tablet,4,5310,21240,2323.371954781841,North
222,2022-09-29,Chair,3,18737,56211,11098.843101888777,North
223,2023-09-16,Monitor,2,1321,2642,588.3949424649174,East
224,2024-03-02,Phone,4,1671,6684,1522.6244929234706,South
225,2022-05-21,Keyboard,4,25681,102724,18388.311116486315,East
226,2021-10-01,Keyboard,3,48456,145368,23370.299797689055,North
227,2024-12-17,Monitor,1,12613,12613,986.127585474244,West
228,2022-04-19,Tablet,5,58417,292085,36896.96992687491,South
229,2022-02-13,Phone,1,59836,59836,3177.5858908578057,South
230,2022-06-27,Tablet,3,52851,158553,13701.793128794516,South
231,2023-01-16,Phone,1,13665,13665,2089.133370041064,West
232,2024-12-05,Desk,3,43328,129984,24114.575904649886,North
233,2023-12-29,Monitor,2,56709,113418,6471.2044459513845,South
234,2023-06-17,Keyboard,3,3863,11589,2550.6671621297846,East
235,2024-05-14,Desk,5,33551,167755,31160.334511845063,West
236,2024-07-19,Tablet,1,32118,32118,6944.413880239851,North
237,2022-05-21,Keyboard,4,39462,157848,37255.8738413625,South
238,2023-10-11,Chair,4,29340,117360,19992.997019803573,West
239,2021-08-27,Laptop,4,15185,60740,13881.873370632391,South
240,2024-01-11,Keyboard,4,5183,20732,2620.650873935449,West
241,2024-11-24,Monitor,4,33387,133548,14780.561370665042,South
